"","Series 1"
"102",1407.96590909091
"103",1559.47045454545
"104",1729.215
"105",1540.28863636364
"106",1484.71380952381
"107",1662.22681818182
"108",1648.54434782609
"109",1549.13333333333
"110",1634.5985
"111",1751.83152173913
"112",1585.95047619048
"113",1509.77465909091
"114",1539.07227272727
"115",1489.01
"116",1481.93086956522
"117",1504.15636363636
"118",1452.54666666667
"119",1433.96545454545
"120",1517.53636363636
"121",1578.16920454545
"122",1545.0745
"123",1544.13304347826
"124",1549.95075
"125",1592.36532608696
"126",1606.64590909091
"127",1676.65523809524
"128",1610.78739130435
"129",1567.42142857143
"130",1529.62727272727
"131",1581.18
"132",1702.18714285714
"133",1702.89413043478
"134",1813.8775
"135",1924.20227272727
"136",1978.27964285714
"137",2004.50586956522
"138",2016.69238095238
"139",2152.64590909091
"140",1902.09304347826
"141",1938.0815
"142",1914.68434782609
"143",1966.83772727273
"144",2111.69928571429
"145",2210.68260869565
"146",2523.07333333333
"147",2657.45904761905
"148",2628.33
"149",2687.83761363636
"150",3021.76
"151",2953.68217391304
"152",2810.47095238095
"153",2678.96318181818
"154",2252.27652173913
"155",2067.723
"156",2463.68608695652
"157",2623.76
"158",2647.586
"159",2509.97227272727
"160",2557.69818181818
"161",2481.5205952381
"162",2700.36409090909
"163",2791.35260869565
"164",2956.66523809524
"165",3142.86363636364
"166",3372.50227272727
"167",3384.13
"168",3494.62184782609
"169",3521.99464285714
"170",3276.5465
"171",3089.64608695652
"172",3221.00818181818
"173",3180.96142857143
"174",3230.83181818182
"175",3229.54636363636
"176",3071.71363636364
"177",2874.92954545455
"178",2927.45666666667
"179",2910.31045454545
"180",3060.02086956522
"181",3158.7775
"182",3472.27
"183",3392.96695652174
"184",3133.62869047619
"185",3068.87272727273
"186",3015.63863636364
"187",3167.18380952381
"188",3064.30826086957
"189",2873.88409090909
"190",2680.04333333333
"191",2527.42636363636
"192",2198.21318181818
"193",2300.17545454545
"194",2356.24
"195",2359.25045454545
"196",2262.74380952381
"197",2313.93434782609
"198",2264.20952380952
"199",2349.81863636364
"200",2512.26086956522
"201",2620.284
"202",2463.53565217391
"203",2478.16454545455
"204",2406.09785714286
"205",2276.31934782609
"206",2197.704
"207",2156.24928571429
"208",2294.48863636364
"209",2341.59195652174
"210",2283.5835
"211",2308.52913043478
"212",2483.60727272727
"213",2616.05142857143
"214",2730.69695652174
"215",2755.17333333333
"216",2826.41636363636
"217",2816.05108695652
